,Word,Senses,Glosa,PoS,SynsetPoS
15710,inapt,1,"if the rumor is true, can anything be more inept than to repeat it now?",a,eng-30-01001180-a
15711,unfortunate,3,an unfortunate choice of words,a,eng-30-01001547-a
15712,rank,1,rank earth,a,eng-30-01002256-a
15713,sterile,1,an infertile couple,a,eng-30-01002377-a
15714,barren,2,a barren woman,a,eng-30-01002664-a
15715,unfertilized,1,an unfertilized egg,a,eng-30-01002911-a
15716,finished,2,are you finished?,a,eng-30-01003050-a
15717,complete,5,the harvesting was complete,a,eng-30-01003277-a
15718,concluded,1,"the affair is over, ended, finished",a,eng-30-01003277-a
15719,ended,1,the abruptly terminated interview,a,eng-30-01003277-a
15720,done,1,certain to make history before he's done,a,eng-30-01003536-a
15721,through,1,it's a done deed,a,eng-30-01003536-a
15722,through_with,1,"after the treatment, the patient is through except for follow-up",a,eng-30-01003536-a
15723,done_with,1,he was through with school and he was through with family- John Dos Passos,a,eng-30-01003822-a
15724,through_with,2,done with gambling,a,eng-30-01003822-a
15725,fin_de_siecle,1,fin de siecle art,a,eng-30-01004051-a
15726,up,8,time is up,a,eng-30-01004245-a
15727,unfinished,2,unfinished business,a,eng-30-01004318-a
15728,incomplete,2,his thesis is still incomplete,a,eng-30-01004541-a
15729,uncompleted,1,an uncompleted play,a,eng-30-01004541-a
15730,pending,1,business still pending,a,eng-30-01004703-a
15731,undone,1,the work could be done or undone and nobody cared,a,eng-30-01004818-a
15732,unended,1,he did with the book still unended,a,eng-30-01004932-a
15733,finished,1,a finished product,a,eng-30-01005063-a
15734,fattening,1,a fattening hog,a,eng-30-01005506-a
15735,raw,11,raw wood,a,eng-30-01005914-a
15736,undressed,1,undressed granite,a,eng-30-01006136-a
15737,unhewn,1,a house of unhewn grey stone roughly cemented together,a,eng-30-01006386-a
15738,bounded,1,a delimited frontier through the disputed region,a,eng-30-01006788-a
15739,exhaustible,2,our exhaustible reserves of fossil fuel,a,eng-30-01006967-a
15740,limited,7,a limited list of choices,a,eng-30-01007258-a
15741,infinite,1,the infinite ingenuity of man,a,eng-30-01007354-a
15742,boundless,1,unbounded enthusiasm,a,eng-30-01007657-a
15743,unbounded,1,children with boundless energy,a,eng-30-01007657-a
15744,limitless,3,a limitless supply of money,a,eng-30-01007657-a
15745,dateless,1,the dateless rise and fall of the tides,a,eng-30-01007947-a
15746,endless,3,time is endless,a,eng-30-01007947-a
15747,sempiternal,1,sempiternal truth,a,eng-30-01007947-a
15748,endless,2,endless waves,a,eng-30-01008174-a
15749,inexhaustible,1,an inexhaustible supply of coal,a,eng-30-01008289-a
15750,infinite,2,infinite verb form,a,eng-30-01008745-a
15751,opening,1,the memorable opening bars of Beethoven's Fifth,a,eng-30-01008947-a
15752,beginning,1,the beginning canto of the poem,a,eng-30-01009206-a
15753,first,4,the first verse,a,eng-30-01009206-a
15754,inaugural,2,the magazine's inaugural issue,a,eng-30-01009343-a
15755,initiative,1,the initiative phase in the negotiations,a,eng-30-01009343-a
15756,initiatory,1,an initiatory step toward a treaty,a,eng-30-01009343-a
15757,first,3,his first (or maiden) speech in Congress,a,eng-30-01009343-a
15758,maiden,1,the liner's maiden voyage,a,eng-30-01009343-a
15759,introductory,1,began the slide show with some introductory remarks,a,eng-30-01009709-a
15760,starting,2,the starting point,a,eng-30-01009865-a
15761,closing,1,the closing stages of the election,a,eng-30-01010025-a
15762,concluding,1,his concluding words came as a surprise,a,eng-30-01010271-a
15763,final,1,the final chapter,a,eng-30-01010271-a
15764,last,3,the last days of the dinosaurs,a,eng-30-01010271-a
15765,terminal,4,terminal leave,a,eng-30-01010271-a
15766,terminative,1,a contract terminative with the end of the war,a,eng-30-01010569-a
15767,year-end,1,year-end audit,a,eng-30-01010747-a
15768,first,1,the first house on the right,a,eng-30-01010862-a
15769,archetypal,1,archetypal patterns,a,eng-30-01011392-a
15770,archetypical,1,she was the prototypal student activist,a,eng-30-01011392-a
15771,basic,3,a basic course in Russian,a,eng-30-01011753-a
15772,introductory,2,basic training for raw recruits,a,eng-30-01011753-a
15773,initial,1,took the initial step toward reconciliation,a,eng-30-01011973-a
15774,firstborn,1,the firstborn child,a,eng-30-01012100-a
15775,freshman,1,a freshman senator,a,eng-30-01012247-a
15776,first-year,1,freshman year in high school or college,a,eng-30-01012247-a
15777,original,1,the original inhabitants of the Americas,a,eng-30-01012503-a
15778,premier,2,the premiere showing,a,eng-30-01012855-a
15779,premier,1,an architect of premier rank,a,eng-30-01012990-a
15780,prime,1,the prime minister,a,eng-30-01012990-a
15781,prime,2,prime mover,a,eng-30-01013171-a
15782,last,2,the last time I saw Paris,a,eng-30-01013279-a
15783,senior,2,the senior prom,a,eng-30-01013681-a
15784,sunset,2,a program with a sunset provision,a,eng-30-01013843-a
15785,ultimate,2,the ultimate sonata of that opus,a,eng-30-01013961-a
15786,intermediate,1,going from sitting to standing without intermediate pushes with the hands,a,eng-30-01014251-a
15787,grey,4,a grey area between clearly legal and strictly illegal,a,eng-30-01014685-a
15788,halfway,2,at the halfway mark,a,eng-30-01014838-a
15789,in-between,1,adolescence is an awkward in-between age,a,eng-30-01014953-a
15790,mediate,2,in a mediate position,a,eng-30-01014953-a
15791,middle,1,the middle point on a line,a,eng-30-01014953-a
15792,junior,2,the junior class,a,eng-30-01015185-a
15793,third-year,1,a third-year student,a,eng-30-01015185-a
15794,penultimate,1,the author inadvertently reveals the murderer in the penultimate chapter,a,eng-30-01015392-a
15795,next-to-last,1,the figures in the next-to-last column,a,eng-30-01015392-a
15796,sophomore,1,the sophomore class,a,eng-30-01015599-a
15797,second-year,1,his sophomore year,a,eng-30-01015599-a
15798,subterminal,1,a subterminal band of color on the tail feathers,a,eng-30-01015798-a
15799,terminal,3,the endmost pillar,a,eng-30-01016035-a
15800,first,6,first soprano,a,eng-30-01016215-a
15801,second,2,second flute,a,eng-30-01016436-a
15802,fissile,2,fissile crystals,a,eng-30-01016644-a
15803,fissionable,1,a fissionable nucleous,a,eng-30-01016874-a
15804,fissile,1,fissionable material,a,eng-30-01016874-a
15805,fit,3,felt relaxed and fit after their holiday,a,eng-30-01017161-a
15806,able,4,an able seaman,a,eng-30-01017439-a
15807,able-bodied,1,every able-bodied young man served in the army,a,eng-30-01017439-a
15808,conditioned,2,exercised daily to keep herself in condition,a,eng-30-01017600-a
15809,unfit,2,fat and very unfit,a,eng-30-01017738-a
15810,crippled,1,a crippled soldier,a,eng-30-01018788-a
15811,halt,1,a game leg,a,eng-30-01018788-a
15812,gammy,1,a gammy foot,a,eng-30-01019450-a
15813,soft,15,he was too soft for the army,a,eng-30-01019713-a
15814,flabby,1,flabby around the middle,a,eng-30-01019713-a
15815,flaccid,2,flaccid cheeks,a,eng-30-01019713-a
15816,fit,1,a fit subject for discussion,a,eng-30-01020393-a
15817,acceptable,4,the water was acceptable for drinking,a,eng-30-01020709-a
15818,suitable,1,a tractor suitable (or fit) for heavy duty,a,eng-30-01020885-a
15819,suited,1,not an appropriate (or fit) time for flippancy,a,eng-30-01020885-a
15820,worthy,3,behavior worthy of reprobation,a,eng-30-01021120-a
15821,unfit,1,an unfit parent,a,eng-30-01021301-a
15822,subhuman,2,subhuman conditions of life,a,eng-30-01021499-a
15823,unsuitable,1,a solvent unsuitable for use on wood surfaces,a,eng-30-01021607-a
15824,flexible,2,slim flexible birches,a,eng-30-01022064-a
15825,bendable,1,a flexible wire,a,eng-30-01022367-a
15826,pliable,4,a pliant young tree,a,eng-30-01022367-a
15827,stretched,1,well-stretched muscles are less susceptible to injury,a,eng-30-01023128-a
15828,inflexible,3,an inflexible iron bar,a,eng-30-01023289-a
15829,muscle-bound,1,he arrived accompanied by two muscle-bound body guards,a,eng-30-01023533-a
15830,rigid,1,a rigid strip of metal,a,eng-30-01023706-a
15831,stiff,6,a table made of rigid plastic,a,eng-30-01023706-a
15832,flexible,1,flexible schedules,a,eng-30-01024073-a
15833,limber,1,a supple mind,a,eng-30-01024228-a
15834,supple,2,a limber imagination,a,eng-30-01024228-a
15835,negotiable,2,negotiable demands,a,eng-30-01024400-a
15836,on_the_table,1,the proposal is still on the table,a,eng-30-01024400-a
15837,inflexible,1,a man of inflexible purpose,a,eng-30-01024597-a
15838,adamant,1,he is adamant in his refusal to change his mind,a,eng-30-01024812-a
15839,adamantine,3,Cynthia was inexorable; she would have none of him- W.Churchill,a,eng-30-01024812-a
15840,inexorable,2,an intransigent conservative opposed to every liberal tendency,a,eng-30-01024812-a
15841,die-hard,1,an inflexible (or die-hard) conservative,a,eng-30-01025212-a
15842,rock-ribbed,2,rock-ribbed republican,a,eng-30-01025212-a
15843,fossilized,1,obsolete fossilized ways,a,eng-30-01025397-a
15844,fossilised,1,an ossified bureaucratic system,a,eng-30-01025397-a
15845,hard-core,1,hard-core addicts,a,eng-30-01025610-a
15846,ironclad,2,brassbound traditions,a,eng-30-01025732-a
15847,brassbound,1,brassbound party loyalists,a,eng-30-01025732-a
15848,uncompromising,1,took an uncompromising stance in the peace talks,a,eng-30-01025913-a
15849,sturdy,2,uncompromising honesty,a,eng-30-01025913-a
15850,hard-line,1,a hard-line policy,a,eng-30-01026150-a
15851,compromising,1,loneliness tore through him...whenever he thought of...even the compromising Louis du Tillet,a,eng-30-01026262-a
15852,yielding,3,too yielding to make a stand against any encroachments- V.I.Parrington,a,eng-30-01026552-a
15853,adaptable,1,to succeed one must be adaptable,a,eng-30-01027263-a
15854,adjustable,1,adjustable seat belts,a,eng-30-01027686-a
15855,all-mains,1,an all-mains set,a,eng-30-01027832-a
15856,convertible,2,a convertible sofa,a,eng-30-01027988-a
15857,elastic,2,an adaptable person,a,eng-30-01028163-a
15858,flexible,3,a flexible personality,a,eng-30-01028163-a
15859,pliable,3,an elastic clause in a contract,a,eng-30-01028163-a
15860,universal,3,"universal wrench, universal chuck",a,eng-30-01028623-a
15861,variable,3,a variable capacitor,a,eng-30-01028796-a
15862,inflexible,4,a rigid disciplinarian,a,eng-30-01029151-a
15863,rigid,3,an inflexible law,a,eng-30-01029151-a
15864,unbending,1,an unbending will to dominate,a,eng-30-01029151-a
15865,curly,1,they envied her naturally curly hair,a,eng-30-01030022-a
15866,wavy,1,she had long wavy hair,a,eng-30-01030691-a
15867,straight,3,her naturally straight hair hung long and silky,a,eng-30-01030826-a
15868,unpermed,1,smooth glossy unpermed hair,a,eng-30-01031115-a
15869,footed,1,footed creatures,a,eng-30-01031232-a
15870,apodal,1,eels are apodal,a,eng-30-01031908-a
15871,toed,1,long-toed,a,eng-30-01032029-a
15872,pointy-toed,1,pointy-toed shoes,a,eng-30-01032226-a
15873,square-toed,2,square-toed shoes,a,eng-30-01032339-a
15874,toeless,1,a toeless shoe,a,eng-30-01032531-a
15875,flat-footed,3,a slow flat-footed walk,a,eng-30-01032845-a
15876,splay,1,splay knees,a,eng-30-01032978-a
15877,foremost,3,the foremost compartment of the ship,a,eng-30-01033249-a
15878,native,2,my native land,a,eng-30-01033996-a
15879,connatural,2,mankind's connatural sense of the good,a,eng-30-01034153-a
15880,adopted,1,my adopted state,a,eng-30-01034296-a
15881,adoptive,2,an adoptive country,a,eng-30-01034296-a
15882,foreign,2,foreign nations,a,eng-30-01034457-a
15883,strange,3,a foreign accent,a,eng-30-01034457-a
15884,adventive,1,an adventive weed,a,eng-30-01034858-a
15885,alien,2,alien customs,a,eng-30-01035007-a
15886,exotic,1,exotic plants in a greenhouse,a,eng-30-01035007-a
15887,foreign-born,1,our large nonnative population,a,eng-30-01035559-a
15888,imported,1,imported wines,a,eng-30-01035725-a
15889,tramontane,2,tramontane influences,a,eng-30-01035858-a
15890,native,1,the native North American sugar maple,a,eng-30-01036083-a
15891,autochthonal,1,the autochthonal fauna of Australia includes the kangaroo,a,eng-30-01036383-a
15892,autochthonic,1,autochthonous rocks and people and folktales,a,eng-30-01036383-a
15893,autochthonous,2,endemic folkways,a,eng-30-01036383-a
15894,endemic,3,the Ainu are indigenous to the northernmost islands of Japan,a,eng-30-01036383-a
15895,domestic,5,domestic wine,a,eng-30-01036754-a
15896,homegrown,1,stands selling homegrown fruits and vegetables,a,eng-30-01036874-a
15897,native-born,1,a native-born Scot,a,eng-30-01037022-a
15898,native,3,native Americans,a,eng-30-01037148-a
15899,aboriginal,2,the aboriginal peoples of Australia,a,eng-30-01037148-a
15900,nonnative,1,the nonnative population of South Africa,a,eng-30-01037405-a
15901,foreign,1,foreign trade,a,eng-30-01037540-a
15902,abroad,1,markets abroad,a,eng-30-01037763-a
15903,overseas,1,overseas markets,a,eng-30-01037763-a
15904,external,3,external commerce,a,eng-30-01037885-a
15905,international,2,international trade,a,eng-30-01037885-a
15906,outside,7,developing nations need outside help,a,eng-30-01037885-a
15907,domestic,1,domestic issues such as tax rate and highway construction,a,eng-30-01038102-a
15908,home,3,the British Home Office has broader responsibilities than the United States Department of the Interior,a,eng-30-01038332-a
15909,interior,2,the nation's internal politics,a,eng-30-01038332-a
15910,municipal,2,international law...only authorizes a belligerent to punish a spy under its municipal law- J.L.kuntz,a,eng-30-01038580-a
15911,domestic,3,domestic worries,a,eng-30-01038808-a
15912,domesticated,2,some men think it unmanly to be domesticated; others find gratification in it,a,eng-30-01039203-a
15913,home-style,1,home-style cooking,a,eng-30-01039460-a
15914,housewifely,1,housewifely virtues,a,eng-30-01039556-a
15915,husbandly,2,assumed husbandly duties like mowing the lawn,a,eng-30-01039687-a
15916,undomestic,1,had established herself in her career at the price of being so undomestic she didn't even know how to light the oven,a,eng-30-01039843-a
15917,undomesticated,2,after years of marriage he remained essentially undomesticated,a,eng-30-01040087-a
15918,haunting,1,haunting memories,a,eng-30-01040544-a
15919,persistent,2,the cathedral organ and the distant voices have a haunting beauty- Claudia Cassidy,a,eng-30-01040544-a
15920,red-letter,1,on red-letter nights a large gathering greeted the celebrity,a,eng-30-01040825-a
15921,forgiving,1,a kindly forgiving nature,a,eng-30-01040984-a
15922,kind,3,our neighbor was very kind about the window our son broke,a,eng-30-01041209-a
15923,unforgiving,1,a surly unforgiving old woman,a,eng-30-01041481-a
15924,revengeful,1,more vindictive than jealous love- Shakespeare,a,eng-30-01041634-a
15925,vindictive,1,punishments...essentially vindictive in their nature- M.R.Cohen,a,eng-30-01041634-a
15926,formal,1,pay one's formal respects,a,eng-30-01041916-a
15927,ceremonial,1,a ceremonial occasion,a,eng-30-01042491-a
15928,ceremonious,2,their ceremonious greetings did not seem heartfelt,a,eng-30-01042703-a
15929,dress,2,a dress dinner,a,eng-30-01042921-a
15930,full-dress,2,a full-dress ceremony,a,eng-30-01042921-a
15931,form-only,1,a form-only requirement that is usually ignored,a,eng-30-01043070-a
15932,full-dress,1,formal wear,a,eng-30-01043226-a
15933,dress,1,a full-dress uniform,a,eng-30-01043226-a
15934,nominal,6,the nominal (or titular) head of his party,a,eng-30-01043374-a
15935,positive,5,positive laws,a,eng-30-01043505-a
15936,pro_forma,1,a one-candidate pro forma election,a,eng-30-01043619-a
15937,semiformal,1,he wore semiformal attire,a,eng-30-01043746-a
15938,semi-formal,1,a black-tie dinner,a,eng-30-01043746-a
15939,starchy,2,a starchy manner,a,eng-30-01043924-a
15940,stiff,3,the letter was stiff and formal,a,eng-30-01043924-a
15941,buckram,1,his prose has a buckram quality,a,eng-30-01043924-a
15942,white-tie,1,a white-tie occasion,a,eng-30-01044118-a
15943,informal,1,conservative people unaccustomed to informal dress,a,eng-30-01044240-a
15944,casual,3,casual clothes,a,eng-30-01044557-a
15945,everyday,2,everyday clothes,a,eng-30-01044557-a
15946,free-and-easy,1,using their Christian names in a casual way,a,eng-30-01044730-a
15947,casual,8,lectured in a free-and-easy style,a,eng-30-01044730-a
15948,folksy,2,a folksy radio commentator,a,eng-30-01044922-a
15949,unceremonious,1,an unceremonious speech,a,eng-30-01045067-a
15950,formal,3,the paper was written in formal English,a,eng-30-01045216-a
15951,literary,3,when trying to impress someone she spoke in an affected literary style,a,eng-30-01045518-a
15952,colloquial,1,wrote her letters in a colloquial style,a,eng-30-01045963-a
15953,conversational,1,the broken syntax and casual enunciation of conversational English,a,eng-30-01045963-a
15954,common,5,common parlance,a,eng-30-01046226-a
15955,vernacular,1,a vernacular term,a,eng-30-01046226-a
15956,vulgar,3,vernacular speakers,a,eng-30-01046226-a
15957,epistolary,1,an endless sequence of epistolary love affairs,a,eng-30-01046553-a
15958,epistolatory,1,the epistolatory novel,a,eng-30-01046553-a
15959,slangy,1,a slangy expression,a,eng-30-01046784-a
15960,subliterary,1,subliterary works such as letters and diaries,a,eng-30-01046994-a
15961,unliterary,1,her talk was very unliterary- W.D.Howells,a,eng-30-01047144-a
15962,former,1,the novel was made into a film in 1943 and again in 1967; I prefer the former version to the latter one,a,eng-30-01047301-a
15963,latter,1,in the latter case,a,eng-30-01047561-a
15964,last_mentioned,1,the last mentioned pianist,a,eng-30-01047752-a
15965,fortunate,1,"other, less fortunate, children died",a,eng-30-01047874-a
15966,better_off,1,she would have been better off if she had stuck with teaching,a,eng-30-01048202-a
15967,felicitous,2,a felicitous life,a,eng-30-01048406-a
15968,happy,2,a happy outcome,a,eng-30-01048406-a
15969,fortuitous,2,profits were enhanced by a fortuitous drop in the cost of raw materials,a,eng-30-01048587-a
15970,good,13,it's a good thing that I wasn't there,a,eng-30-01048762-a
15971,well,2,it is good that you stayed,a,eng-30-01048762-a
15972,heaven-sent,1,a heaven-sent rain saved the crops,a,eng-30-01048976-a
15973,providential,1,a providential recovery,a,eng-30-01048976-a
15974,lucky,1,a lucky escape,a,eng-30-01049210-a
15975,well-off,2,doesn't know when he's well-off,a,eng-30-01049352-a
15976,unfortunate,1,an unfortunate turn of events,a,eng-30-01049462-a
15977,abject,2,the most abject slaves joined in the revolt,a,eng-30-01049941-a
15978,black,6,the stock market crashed on Black Friday,a,eng-30-01050088-a
15979,calamitous,1,a calamitous defeat,a,eng-30-01050088-a
15980,disastrous,1,the battle was a disastrous end to a disastrous campaign,a,eng-30-01050088-a
15981,fatal,3,"such doctrines, if true, would be absolutely fatal to my theory- Charles Darwin",a,eng-30-01050088-a
15982,fateful,3,it is fatal to enter any war without the will to win it- Douglas MacArthur,a,eng-30-01050088-a
15983,dispossessed,1,made a living out of shepherding dispossed people from one country to another- James Stern,a,eng-30-01050603-a
15984,hapless,1,a hapless victim,a,eng-30-01050890-a
15985,miserable,2,miserable victims of war,a,eng-30-01050890-a
15986,misfortunate,1,the shabby room struck her as extraordinarily pathetic- Galsworthy,a,eng-30-01050890-a
15987,pathetic,1,piteous appeals for help,a,eng-30-01050890-a
15988,piteous,1,pitiable homeless children,a,eng-30-01050890-a
15989,pitiable,2,a pitiful fate,a,eng-30-01050890-a
15990,pitiful,3,"Oh, you poor thing",a,eng-30-01050890-a
15991,poor,1,his poor distorted limbs,a,eng-30-01050890-a
15992,wretched,5,a wretched life,a,eng-30-01050890-a
15993,doomed,3,their business venture was doomed from the start,a,eng-30-01051410-a
15994,ill-fated,1,an ill-fated business venture,a,eng-30-01051410-a
15995,ill-omened,1,an ill-starred romance,a,eng-30-01051410-a
15996,ill-starred,1,the unlucky prisoner was again put in irons- W.H.Prescott,a,eng-30-01051410-a
15997,infelicitous,2,infelicitous circumstances,a,eng-30-01051814-a
15998,unhappy,4,"unhappy caravans, straggling afoot through swamps and canebrakes- American Guide Series",a,eng-30-01051814-a
15999,regrettable,1,regrettable remarks,a,eng-30-01052038-a
16000,too_bad,1,it's regrettable that she didn't go to college,a,eng-30-01052038-a
16001,aromatic,2,the pine woods were more redolent- Jean Stafford,a,eng-30-01052428-a
16002,odoriferous,3,odoriferous spices,a,eng-30-01052611-a
16003,odorous,3,the odorous air of the orchard,a,eng-30-01052611-a
16004,perfumed,2,the perfumed air of June,a,eng-30-01052611-a
16005,scented,3,scented flowers,a,eng-30-01052611-a
16006,perfumed,1,perfumed boudoir,a,eng-30-01052888-a
16007,scented,2,perfumed stationery,a,eng-30-01052888-a
16008,fetid,1,a foul odor,a,eng-30-01053634-a
16009,foetid,1,the kitchen smelled really funky,a,eng-30-01053634-a
16010,odoriferous,2,odorous salt pork and weevily hardtack,a,eng-30-01054504-a
16011,odorous,1,odorous jasmine flowers,a,eng-30-01055073-a
16012,redolent,2,the hall was redolent of floor wax,a,eng-30-01056897-a
16013,smelling,1,air redolent with the fumes of beer and whiskey,a,eng-30-01056897-a
16014,scented,4,clean-scented laundry,a,eng-30-01057103-a
16015,odorless,1,odorless gas,a,eng-30-01057775-a
16016,odourless,1,odorless flowers,a,eng-30-01057775-a
16017,scentless,2,scentless wisps of straw,a,eng-30-01058029-a
16018,scented,1,keen-scented hounds,a,eng-30-01058179-a
16019,free,2,free expansion,a,eng-30-01058363-a
16020,conjugate,3,a conjugated protein,a,eng-30-01059252-a
16021,fixed,3,a fixed piece of wood,a,eng-30-01059400-a
16022,fast,8,the post was still firm after being hit by the car,a,eng-30-01059711-a
16023,geostationary,1,a geostationary satellite,a,eng-30-01059911-a
16024,leaded,1,leaded windowpanes,a,eng-30-01060304-a
16025,stationary,2,stationary machinery,a,eng-30-01060445-a
16026,taped,1,carefully taped pieces of glass served as a windowpane,a,eng-30-01060570-a
16027,detached,6,the detached shutter fell on him,a,eng-30-01060947-a
16028,free,5,he pulled his arm free and ran,a,eng-30-01060947-a
16029,floating,4,floating ribs are not connected with the sternum,a,eng-30-01061100-a
16030,unfirm,1,climbing carefully up the unsteady ladder,a,eng-30-01061310-a
16031,unsteady,2,an unfirm stance,a,eng-30-01061310-a
16032,free,1,free enterprise,a,eng-30-01061489-a
16033,at_large,1,a convict still at large,a,eng-30-01062114-a
16034,escaped,1,searching for two escaped prisoners,a,eng-30-01062114-a
16035,loose,12,dogs loose on the streets,a,eng-30-01062114-a
16036,on_the_loose,1,criminals on the loose in the neighborhood,a,eng-30-01062114-a
16037,autonomous,1,an autonomous judiciary,a,eng-30-01062393-a
16038,independent,2,a sovereign state,a,eng-30-01062393-a
16039,available,2,he was not available for comment,a,eng-30-01062631-a
16040,uncommitted,3,he was available and willing to accompany her,a,eng-30-01062631-a
16041,clear,5,we were clear of the danger,a,eng-30-01062938-a
16042,emancipated,1,an emancipated young woman pursuing her career,a,eng-30-01063102-a
16043,liberated,2,a liberated lifestyle,a,eng-30-01063102-a
16044,footloose,1,Americans have always been a footloose people always moving on,a,eng-30-01063286-a
16045,out-of-school,1,opportunities for out-of-school youth,a,eng-30-01063490-a
16046,unconstrained,1,he was unconstrained by any of the sanctions of polite society,a,eng-30-01063753-a
16047,unhampered,2,unhampered dissemination of news,a,eng-30-01063958-a
16048,unrestricted,2,I had unrestricted access,a,eng-30-01064167-a
16049,adscript,2,an adscript serf,a,eng-30-01064619-a
16050,at_bay,1,a stag at bay,a,eng-30-01064913-a
16051,cornered,1,she had me cornered between the porch and her car,a,eng-30-01064913-a
16052,trapped,1,like a trapped animal,a,eng-30-01064913-a
16053,free,6,after the Civil War he was a free man,a,eng-30-01065694-a
16054,free-soil,1,a free-soil state,a,eng-30-01065941-a
16055,unfree,1,he was born of slave parents,a,eng-30-01066070-a
16056,servile,2,Brown's attempt at servile insurrection,a,eng-30-01066226-a
16057,slaveholding,1,the slaveholding South,a,eng-30-01066441-a
16058,frequent,1,a frequent guest,a,eng-30-01066542-a
16059,prevailing,1,prevailing winds,a,eng-30-01066787-a
16060,regular,7,a regular customer,a,eng-30-01067003-a
16061,steady,5,a steady drinker,a,eng-30-01067003-a
16062,infrequent,1,infrequent outbursts of temper,a,eng-30-01067193-a
16063,occasional,1,took an occasional glass of wine,a,eng-30-01067415-a
16064,rare,2,a rare appearance,a,eng-30-01067538-a
16065,fresh,1,fresh bread,a,eng-30-01067694-a
16066,caller,2,caller fish,a,eng-30-01068012-a
16067,crisp,4,crisp lettuce,a,eng-30-01068104-a
16068,fresh-cut,1,fresh-cut flowers,a,eng-30-01068217-a
16069,good,20,the meat is still good,a,eng-30-01068306-a
16070,hot,16,a hot scent,a,eng-30-01068438-a
16071,new-made,1,the aroma of new-made bread,a,eng-30-01068513-a
16072,strong,9,a warm trail,a,eng-30-01068609-a
16073,warm,5,the scent is warm,a,eng-30-01068609-a
16074,stale,1,stale bread,a,eng-30-01068726-a
16075,addled,1,an addled egg,a,eng-30-01069187-a
16076,bad,4,bad meat,a,eng-30-01069283-a
16077,spoiled,2,a refrigerator full of spoilt food,a,eng-30-01069283-a
16078,cold,3,a cold trail,a,eng-30-01069454-a
16079,day-old,1,day-old bread is cheaper than fresh,a,eng-30-01069607-a
16080,hard,12,hard dry rolls left over from the day before,a,eng-30-01069715-a
16081,flyblown,1,flyblown meat,a,eng-30-01069823-a
16082,maggoty,1,a sack of maggoty apricots,a,eng-30-01069823-a
16083,limp,1,wilted lettuce,a,eng-30-01070002-a
16084,moldy,1,moldy bread,a,eng-30-01070088-a
16085,mouldy,1,a moldy (or musty) odor,a,eng-30-01070088-a
16086,rancid,1,rancid butter,a,eng-30-01070321-a
16087,rotten,3,dead and rotten in his grave,a,eng-30-01070538-a
16088,corrupt,4,tainted bacon,a,eng-30-01070716-a
16089,tainted,1,`corrupt' is archaic,a,eng-30-01070716-a
16090,putrid,2,horrible like raw and putrid flesh- Somerset Maugham,a,eng-30-01070844-a
16091,putrescent,1,a trail lined by putrescent carcasses,a,eng-30-01071049-a
16092,fresh,5,fresh vegetables,a,eng-30-01071198-a
16093,dried,2,dried beef,a,eng-30-01072382-a
16094,dehydrated,2,dried fruit,a,eng-30-01072382-a
16095,desiccated,2,dehydrated eggs,a,eng-30-01072382-a
16096,flash-frozen,1,frozen foods,a,eng-30-01072586-a
16097,freeze-dried,2,freeze-dried coffee,a,eng-30-01072782-a
16098,potted,2,potted meat,a,eng-30-01073194-a
16099,sun-dried,1,sun-dried apricots,a,eng-30-01073592-a
16100,fresh,6,fresh water,a,eng-30-01073707-a
16101,salty,2,salt water,a,eng-30-01073822-a
16102,brackish,2,a brackish lagoon,a,eng-30-01074062-a
16103,briny,1,the briny deep,a,eng-30-01074062-a
16104,saliferous,1,saliferous formations,a,eng-30-01074335-a
16105,saline,1,a saline substance,a,eng-30-01074458-a
16106,friendly,1,friendly advice,a,eng-30-01074650-a
16107,affable,1,an affable smile,a,eng-30-01075178-a
16108,amiable,2,an amiable gathering,a,eng-30-01075178-a
16109,cordial,1,cordial relations,a,eng-30-01075178-a
16110,genial,1,a cordial greeting,a,eng-30-01075178-a
16111,companionate,1,companionate marriage,a,eng-30-01075742-a
16112,cozy,2,had a cozy chat,a,eng-30-01076145-a
16113,intimate,2,a relaxed informal manner,a,eng-30-01076145-a
16114,informal,4,an intimate cocktail lounge,a,eng-30-01076145-a
16115,social,6,a social cup of coffee,a,eng-30-01076634-a
16116,unfriendly,2,an unfriendly coldness of manner,a,eng-30-01076793-a
16117,chilly,3,a chilly greeting,a,eng-30-01077263-a
16118,uncordial,1,looked uncordial as we approached,a,eng-30-01077362-a
16119,friendly,4,in friendly territory,a,eng-30-01077638-a
16120,hostile,2,hostile naval and air forces,a,eng-30-01077829-a
16121,friendly,3,user-friendly computers,a,eng-30-01077995-a
16122,unfriendly,1,user-unfriendly,a,eng-30-01078178-a
16123,frozen,1,the frozen North,a,eng-30-01078302-a
16124,frostbitten,1,frostbitten fingers,a,eng-30-01078673-a
16125,icebound,1,icebound harbors,a,eng-30-01079052-a
16126,ice-clogged,1,ice-clogged rivers,a,eng-30-01079143-a
16127,icy,3,icy northern waters,a,eng-30-01079240-a
16128,unthawed,1,"there wasn't time to cook the unthawed turkey, so they had to settle for hotdogs",a,eng-30-01079532-a
16129,unfrozen,1,unfrozen ground,a,eng-30-01079683-a
16130,ice-free,1,an ice-free channel in the river,a,eng-30-01079857-a
16131,slushy,1,slushy snow,a,eng-30-01080060-a
16132,thawed,2,the thawed ground was muddy,a,eng-30-01080197-a
16133,fruitful,1,be fruitful and multiply,a,eng-30-01080297-a
